codigo,cpf,nome,nascimento,Descricao,estado-civil,cep,bairro,cidade,uf,fone,celular,email,data-pri,data-ult,limite,sexo,Nro-Compras,Idade
44,24367028372,ALICE ALMEIDA GONCALVES SIQUEIRA,2053-01-06,CLIENTE ATIVO,,34525000,PRAIA DOS BANDEIRANT,SABARA,MG,,37903747703,alice_000044@sgasoft.com.br,1997-04-16,2024-07-01,300.0,Feminino,97,72
46,43321587505,LEONARDO DANTAS RAMOS BARROS,2064-09-10,CLIENTE ATIVO,,34525290,MORRO DA CRUZ,SABARA,MG,8186712678,37997433749,leonardo_000046@sgasoft.com.br,1997-06-07,2024-09-27,300.0,Masculino,131,60
53,37407685339,LETICIA TEIXEIRA ABREU FOGACA,1987-05-28,CLIENTE ATIVO,,34515590,VILA SANTO ANTONIO D,SABARA,MG,,38997874704,leticia_000053@sgasoft.com.br,2007-07-11,2024-11-30,0.0,Feminino,99,37
57,52438550147,LORENA XAVIER CUNHA LISBOA,2069-01-12,CLIENTE ATIVO,,34505010,POMPEU,SABARA,MG,,30970793595,lorena_000057@sgasoft.com.br,1995-09-21,2024-10-26,600.0,Feminino,176,56
59,83825191303,ANA PIRES LISBOA ABREU,1978-09-18,CLIENTE ATIVO,,34535100,PACIENCIA,SABARA,MG,8186712122,31999051599,ana_000059@sgasoft.com.br,1995-11-03,2024-08-16,0.0,Feminino,153,46
61,71818391104,ALESSANDRA CASTRO ROCHA QUEIROZ,2045-11-08,CLIENTE ATIVO,,34525100,PACIENCIA,SABARA,MG,,37999777453,alessandra_000061@sgasoft.com.br,1995-12-15,2024-11-02,0.0,Feminino,109,79
63,38367438922,ELOA SARAIVA TEIXEIRA SANTOS,2067-01-22,CLIENTE S/C,,35300000,EMBOABAS,CAETE,MG,,,eloa_000063@sgasoft.com.br,1997-01-27,2024-10-26,300.0,Feminino,23,58
64,42294167503,LUIZA PIRES GOMES ABREU,2072-08-01,CLIENTE ATIVO,,34505010,ADELMOLANDIA,SABARA,MG,,34994754409,luiza_000064@sgasoft.com.br,1996-07-13,2024-09-26,300.0,Feminino,49,52
69,15183478279,CAUA MIRANDA CUNHA OLIVEIRA,1983-05-17,CLIENTE ATIVO,,34505780,VILA N ENHORA CONCEI,SABARA,MG,9196726819,,caua_000069@sgasoft.com.br,2007-07-11,2024-03-20,300.0,Masculino,14,41
70,16991716294,LUCAS MOURA COSTA PINTO,1976-04-01,CLIENTE ATIVO,,34516110,MANGABEIRAS,SABARA,MG,,36999379767,lucas_000070@sgasoft.com.br,1995-05-03,2024-12-04,1000.0,Masculino,97,48
73,40348926502,SOPHIA ELIAS CAVALCANTI XAVIER,1991-09-11,CLIENTE ATIVO,,33900210,SANTA FE (JUSTINOPOL,RIBEIRAO DAS NEVES,MG,9196712968,36993355555,sophia_000073@sgasoft.com.br,2007-07-12,2024-05-17,1000.0,Feminino,51,33
79,81435143825,BIANCA ARAUJO RODRIGUES OLIVEIRA,2059-02-10,CLIENTE ATIVO,,34525010,PRAIA DOS BANDEIRANT,SABARA,MG,8186726826,37997490457,bianca_000079@sgasoft.com.br,1996-03-19,2024-10-10,800.0,Feminino,231,65
81,55873580383,MARIANE BONFIM MARTINS PINTO,2051-07-04,CLIENTE SPC - ARQUIVO,,34505600,CENTRO,SABARA,MG,8186712881,35955344750,mariane_000081@sgasoft.com.br,2007-07-14,2024-03-09,500.0,Feminino,84,73
87,65173323329,LORENA NASCIMENTO CARVALHO SILVEIRA,2056-03-09,CLIENTE S/C,OUTROS,34500000,GALEGO,SABARA,MG,2122721863,,lorena_000087@sgasoft.com.br,2007-07-14,2024-04-04,200.0,Feminino,7,68
91,93181261742,CAROLINA SANTOS ARAUJO XAVIER,2065-02-11,CLIENTE ATIVO,,30670000,CASTANHEIRA II VALE,BELO HORIZONTE,MG,9196787799,39995705453,carolina_000091@sgasoft.com.br,1995-12-09,2024-10-01,0.0,Feminino,150,59
93,84437535600,OTAVIO LEAL SANTOS CORREIA,2054-03-08,CLIENTE ATIVO,,35300000,MORADA DA SERRA,SABARA,MG,9196791196,,otavio_000093@sgasoft.com.br,1997-12-31,2024-11-26,300.0,Masculino,77,70
94,98454364129,RAUL BEZERRA CARVALHO ROCHA,2051-03-07,CLIENTE ATIVO,,34505720,CENTRO,SABARA,MG,9199888899,,raul_000094@sgasoft.com.br,1996-04-26,2024-11-30,1000.0,Masculino,162,73
96,09754117217,BENJAMIN SANTANA DINIZ SOUSA,1977-01-29,CLIENTE S/C,,00000000,JOSE BRANDAO,CAETE,MG,,,benjamin_000096@sgasoft.com.br,1996-12-24,2024-06-22,300.0,Masculino,22,48
98,27018319463,AMANDA PINTO LOPES CAVALCANTI,1998-01-26,CLIENTE S/C,,34505010,ROCA GRANDE,SABARA,MG,,,amanda_000098@sgasoft.com.br,1996-03-15,2024-12-16,300.0,Feminino,18,27
101,30099617234,ALICE LOPES SARAIVA MORAES,1988-10-27,CLIENTE ATIVO,,34800000,DECHAMPS,CAETE,MG,6166619626,39930934300,alice_000101@sgasoft.com.br,2007-07-14,2024-12-26,600.0,Feminino,45,36
103,78308398677,ARTHUR CORREIA VIEIRA RODRIGUES,2060-04-01,FALECIDO,OUTROS,00000000,MORGAN,CAETE,MG,6166118188,,arthur_000103@sgasoft.com.br,1997-05-13,2024-12-27,1200.0,Masculino,45,64
112,54550773413,GUILHERME ARAUJO LEAL FONSECA,2055-04-19,CLIENTE ATIVO,,30310000,SION,BELO HORIZONTE,MG,,37994004090,guilherme_000112@sgasoft.com.br,1996-04-11,2024-09-06,720.0,Masculino,83,69
123,81967590966,GUSTAVO ARAUJO VARGAS LOPES,2061-11-04,CLIENTE S/C,,00000000,PEDRA BRANCA,CAETE,MG,6111986,,gustavo_000123@sgasoft.com.br,1997-08-04,2024-12-26,300.0,Masculino,21,63
125,90912069180,DIEGO BORGES BONFIM CARVALHO,2049-11-29,CLIENTE ATIVO,,34515600,VILA SANTO ANTONIO D,SABARA,MG,2126717222,,diego_000125@sgasoft.com.br,1995-11-25,2024-12-23,,Masculino,153,75
128,12782421808,DAVI CAVALCANTI GOMES PEIXOTO,2070-03-26,CLIENTE ATIVO,,34505740,SIDERURGICA,SABARA,MG,8186712726,,davi_000128@sgasoft.com.br,1995-09-22,2024-08-17,400.0,Masculino,168,54
130,20636980073,GABRIELA BARBOSA MOREIRA LISBOA,1988-06-03,CLIENTE ATIVO,,34525530,ADELMOLANDIA,SABARA,MG,987188899,30995093539,gabriela_000130@sgasoft.com.br,2007-07-16,2024-11-30,1000.0,Feminino,80,36
134,55479640500,VANESSA ELIAS MOURA CORREIA,2068-03-30,CLIENTE ATIVO,,00000000,JOSE BRANDAO,CAETE,MG,,,vanessa_000134@sgasoft.com.br,1995-08-03,2024-06-20,1200.0,Feminino,132,56
139,86414317489,RICARDO GOMES XAVIER SILVEIRA,2066-09-26,CLIENTE ATIVO,,34525000,CENTRO,SABABA,MG,,993400479,ricardo_000139@sgasoft.com.br,2007-07-16,2024-09-28,800.0,Masculino,142,58
145,48264005357,ALEXANDRE DANTAS SARAIVA TEIXEIRA,2048-10-08,CLIENTE ATIVO,,34515020,VILA MICHEL,SABARA,MG,2126721286,37993379377,alexandre_000145@sgasoft.com.br,1997-05-07,2024-05-06,0.0,Masculino,169,76
151,74127402881,LAURA DIAS NASCIMENTO RODRIGUES,2072-05-07,CLIENTE ATIVO,,33010120,MOREIRA,SANTA LUZIA,MG,7176727212,32997703043,laura_000151@sgasoft.com.br,2007-07-18,2024-11-30,500.0,Feminino,80,52
154,22940361150,DANIEL MIRANDA MOURA LEAL,2057-12-18,CLIENTE ATIVO,,34535100,PACIENCIA,SABARA,MG,,31973755709,daniel_000154@sgasoft.com.br,1995-12-07,2024-11-25,900.0,Masculino,246,67
164,85811705018,LUCCA SARAIVA DINIZ MORAES,2062-09-18,CLIENTE ATIVO,OUTROS,34545780,ROCA GRANDE,SABARA,MG,8186711812,35995703454,lucca_000164@sgasoft.com.br,2007-07-18,2024-11-19,0.0,Masculino,14,62
166,04876263205,FELIPE JESUS SOUSA CARDOSO,2059-10-19,CLIENTE ATIVO,,32010010,CINCO,CONTAGEM,MG,6711711,39999492920,felipe_000166@sgasoft.com.br,1995-09-15,2024-09-02,0.0,Masculino,180,65
169,17857462004,VANESSA OLIVEIRA DIAS MENDES,2070-02-25,CLIENTE ATIVO,,32110000,PARQUE RECREIO,CONTAGEM,MG,9196711197,34999375439,vanessa_000169@sgasoft.com.br,1996-04-02,2024-06-07,480.0,Feminino,51,54
175,96516097291,EMANUEL ABREU FERNANDES DINIZ,1979-03-28,CLIENTE ATIVO,,40720000,PERIPERI,SALVADOR,BA,81998718889,37999733399,emanuel_000175@sgasoft.com.br,1995-12-06,2024-06-28,0.0,Masculino,168,45
176,00543827852,CARLOS MARQUES QUEIROZ BARBOSA,2052-08-22,CLIENTE ATIVO,,34515360,ESPLANADA,SABARA,MG,8186726886,33995794330,carlos_000176@sgasoft.com.br,1997-02-08,2024-02-10,300.0,Masculino,155,72
177,15560566489,MATHEUS ARAUJO MONTEIRO COSTA,2055-01-19,CLIENTE ATIVO,,34515470,CAMPO SANTO ANTONIO,SABARA,MG,1116712157,,matheus_000177@sgasoft.com.br,2007-07-19,2024-06-13,600.0,Masculino,37,70
180,27541764205,LORENZO FERNANDES NASCIMENTO MENEZES,2064-03-21,CLIENTE ATIVO,OUTROS,34505010,CAIEIRA,SABARA,MG,11198728198,,lorenzo_000180@sgasoft.com.br,1996-02-06,2024-10-23,300.0,Masculino,86,60
181,32578494860,ALINE MARTINS PINTO RODRIGUES,2051-02-08,CLIENTE ATIVO,,34515390,ESPLANADA,SABARA,MG,,999775739,aline_000181@sgasoft.com.br,1997-11-14,2024-04-29,600.0,Feminino,59,73
183,40523963084,DAVI ROCHA FOGACA XAVIER,1976-07-17,CLIENTE ATIVO,,34565320,ROSARIO,SABARA,MG,6166788188,37995757707,davi_000183@sgasoft.com.br,1996-05-18,2024-09-04,300.0,Masculino,114,48
184,55550792656,LORENA SOUSA BORGES SIQUEIRA,1977-10-19,CLIENTE ATIVO,,41120000,PERNAMBUES,SALVADOR,BA,92686671,37997595933,lorena_000184@sgasoft.com.br,1996-01-08,2024-10-05,500.0,Feminino,102,47
187,68531990300,DAVI NOGUEIRA PIRES SANTOS,2068-03-17,CLIENTE ATIVO,,32010010,CINCO,CONTAGEM,MG,,35995593570,davi_000187@sgasoft.com.br,2007-07-20,2024-06-17,300.0,Masculino,43,56
193,66244095766,ALEXANDRE PINHEIRO QUEIROZ LISBOA,2059-12-22,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,7176712677,34977477445,alexandre_000193@sgasoft.com.br,1995-09-16,2024-11-23,600.0,Masculino,114,65
201,00161950515,DANIEL LIMA RODRIGUES COELHO,2052-05-13,CLIENTE ATIVO,,34505010,CAIEIRA,SABARA,MG,8189669996,39997399039,daniel_000201@sgasoft.com.br,1995-09-16,2024-11-08,600.0,Masculino,173,72
202,14198699143,ALINE DANTAS PIRES BONFIM,1983-09-20,LIGA€AO TELEFONICA,,34535100,PACIENCIA,SABARA,MG,87878721,,aline_000202@sgasoft.com.br,2007-07-21,2024-09-30,0.0,Feminino,125,41
209,55188825309,CLARA DANTAS VIEIRA SANTANA,2065-03-10,CLIENTE ATIVO,,34525020,CENTRO,SABARA,MG,,30927593402,clara_000209@sgasoft.com.br,1995-12-04,2024-06-10,500.0,Feminino,165,59
212,78169024099,JACKSON JESUS FONSECA ABREU,2061-07-13,CLIENTE ATIVO,,34505010,SIDERURGICA,SABARA,MG,7176726218,30903445033,jackson_000212@sgasoft.com.br,1996-04-02,2024-10-31,800.0,Masculino,202,63
216,65872128401,LUCAS BARROS BARBOSA RAMOS,2058-08-22,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,7176712771,,lucas_000216@sgasoft.com.br,1996-03-29,2024-11-14,300.0,Masculino,53,66
217,70809857065,VANESSA GOMES ALBUQUERQUE LEAL,1978-09-29,CLIENTE ATIVO,,33900210,SANTA FE (JUSTINOPOL,RIBEIRAO DAS NEVES,MG,6166717862,37997770747,vanessa_000217@sgasoft.com.br,1996-06-05,2024-08-09,0.0,Feminino,89,46
218,74826687648,JULIA CORREIA DUARTE VARGAS,1976-06-02,CLIENTE ATIVO,OUTROS,35660050,CENTRO,PARA DE MINAS,MG,6166728666,37907754470,julia_000218@sgasoft.com.br,1996-07-06,2024-06-19,300.0,Feminino,34,48
219,88853326255,BIANCA CARDOSO XAVIER LEAL,2062-06-01,CLIENTE ATIVO,,34505010,SOBRADINHO,SABARA,MG,1,33995455455,bianca_000219@sgasoft.com.br,1996-01-24,2024-10-03,900.0,Feminino,120,62
220,83880056854,LORENZO ALMEIDA ROCHA CAMPOS,2055-11-16,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,6166719982,,lorenzo_000220@sgasoft.com.br,1996-03-28,2024-11-11,400.0,Masculino,119,69
223,06762354688,LORENZO FOGACA CUNHA PECANHA,1976-08-12,CLIENTE ATIVO,,31035060,SAGRADA FAMILIA,BELO HORIZONTE,MG,,37993050340,lorenzo_000223@sgasoft.com.br,2003-05-15,2024-09-30,0.0,Masculino,102,48
233,69733698636,HELENA. MENEZES BRAGA MARQUES,1975-11-01,CLIENTE ATIVO,,34505620,CENTRO,SABARA,MG,,38998469568,helena._000233@sgasoft.com.br,2000-12-29,2024-10-21,0.0,Feminino,105,49
239,84454710317,BIANCA JESUS MIRANDA CARDOSO,2056-06-04,CLIENTE ATIVO,OUTROS,34515000,BANDEIRANTES,SABARA,MG,8186726117,30933334443,bianca_000239@sgasoft.com.br,1997-12-20,2024-11-22,600.0,Feminino,97,68
251,56379623590,JULIA ALBUQUERQUE MOREIRA TEIXEIRA,1978-01-20,LIGA€AO TELEFONICA,,35660370,SAO CRISTOVAO,PARA DE MINAS,MG,7179776771,33933395345,julia_000251@sgasoft.com.br,1995-12-20,2024-02-03,500.0,Feminino,161,47
253,64333082790,CECILIA MENDES CALDAS FRANCO,2053-09-16,CLIENTE ATIVO,,35300000,ROCA GRANDE,SABARA,MG,7176713719,,cecilia_000253@sgasoft.com.br,1998-04-03,2024-10-07,300.0,Feminino,71,71
255,73388551960,MARIA LIMA SAMPAIO OLIVEIRA,2071-07-14,CLIENTE INTERNO,CASADO,34505685,ALTO CABRAL,SABARA,MG,,35997355905,maria_000255@sgasoft.com.br,1995-11-29,2024-11-30,0.0,Feminino,552,53
259,98009583634,AMANDA BEZERRA COELHO CASTRO,2056-08-04,CLIENTE ATIVO,OUTROS,34505010,CAMPO SANTO A,SABARA,MG,,35990555990,amanda_000259@sgasoft.com.br,1995-11-17,2024-08-17,700.0,Feminino,31,68
268,47943287029,LEONARDO VIEIRA CAVALCANTI PINTO,1977-09-15,CLIENTE ATIVO,,34505010,POMPEU,SABARA,MG,7777777777777,37999370030,leonardo_000268@sgasoft.com.br,1996-04-03,2024-09-27,0.0,Masculino,162,47
273,79988954034,MIGUEL FERNANDES SILVEIRA ARAUJO,2067-06-11,CLIENTE S/C,,34505010,PACIENCIA,SABARA,MG,,,miguel_000273@sgasoft.com.br,1995-09-27,2024-07-02,300.0,Masculino,37,57
285,57571311799,TAINA TEIXEIRA SOUZA CARDOSO,1977-08-28,CLIENTE ATIVO,,34515290,NOSSA SENHORA DO E,SABARA,MG,6166716616,37975047140,taina_000285@sgasoft.com.br,2001-09-28,2024-03-27,300.0,Feminino,142,47
292,97561557957,DOUGLAS PEIXOTO ROCHA SANTANA,2053-01-03,CLIENTE ATIVO,,33010120,MOREIRA,SANTA LUZIA,MG,,30999735403,douglas_000292@sgasoft.com.br,1995-12-16,2024-05-11,0.0,Masculino,85,72
306,93161940083,LORENZO PIRES LISBOA FRANCO,1991-05-11,CLIENTE ATIVO,,34515570,PADRE CHIQUINHO,SABARA,MG,,39995395570,lorenzo_000306@sgasoft.com.br,2007-08-02,2024-11-30,0.0,Masculino,182,33
321,88068051937,TATIANA MIRANDA ALMEIDA DANTAS,2066-11-24,CLIENTE ATIVO,,34600000,NOSSA SENHORA DE FAT,SABARA,MG,996199067,39990594007,tatiana_000321@sgasoft.com.br,1995-11-25,2024-12-02,0.0,Feminino,173,58
329,56750418694,RAFAELA DUARTE JESUS CUNHA,2061-06-30,CLIENTE ATIVO,,34505075,CENTRO,SABARA,MG,,37997000307,rafaela_000329@sgasoft.com.br,1995-11-25,2024-03-16,300.0,Feminino,92,63
332,79732616482,HELENA. LISBOA MORAES MELO,2046-11-15,CLIENTE ATIVO,,34500000,PACIENCIA,SABARA,MG,,35995935099,helena._000332@sgasoft.com.br,1998-12-05,2024-08-31,900.0,Feminino,53,78
341,28686211801,CAROLINA MARTINS RAMOS MELO,2073-06-28,CLIENTE ATIVO,,30230000,NOSSA SENHORA DE FAT,BELO HORIZONTE,MG,1116711618,31915097040,carolina_000341@sgasoft.com.br,2007-08-04,2024-07-05,600.0,Feminino,32,51
342,32603040456,LUCAS MELO NOGUEIRA QUEIROZ,1983-01-10,CLIENTE ATIVO,CASADO,33840000,ROSANEVES,RIBEIRAO DAS NEVES,MG,11996921270,30990503040,lucas_000342@sgasoft.com.br,2007-08-04,2024-11-06,1000.0,Masculino,120,42
355,50285642219,LUCAS PEIXOTO ARAUJO MENEZES,2065-10-08,CLIENTE ATIVO,,34515092,VILA SANTA CRUZ,SABARA,MG,,32993333307,lucas_000355@sgasoft.com.br,1989-07-05,2024-09-02,350.0,Masculino,53,59
363,95202517076,MIRELLA BORGES COELHO CORREIA,1975-02-17,CLIENTE ATIVO,,34516125,VILA MANGUEIRAS,SABARA,MG,6166726922,,mirella_000363@sgasoft.com.br,2007-08-07,2024-04-30,1000.0,Feminino,42,49
366,18183716857,ALICE RIBEIRO QUEIROZ PEIXOTO,2074-03-03,CLIENTE ATIVO,OUTROS,30670000,CASTANHEIRA II VALE,BELO HORIZONTE,MG,,37933053737,alice_000366@sgasoft.com.br,1998-07-22,2024-11-06,300.0,Feminino,71,50
370,96875172550,LUCAS TEIXEIRA SILVA QUEIROZ,2073-03-08,CLIENTE ATIVO,,34505170,VILA ESPERANCA,SABARA,MG,,32995933374,lucas_000370@sgasoft.com.br,1995-11-25,2024-09-02,600.0,Masculino,194,51
372,05829641720,JACKSON CAVALCANTI MOURA MELO,2072-05-28,CLIENTE ATIVO,,34505010,MORRO DA CRUZ,SABARA,MG,99629187,,jackson_000372@sgasoft.com.br,1995-11-25,2024-10-04,500.0,Masculino,64,52
374,14784119965,CLARISSA SARAIVA CUNHA SANTOS,1989-02-04,CLIENTE SPC - ARQUIVO,OUTROS,34800000,PEDRA BRANCA,CAETE,MG,,39999995494,clarissa_000374@sgasoft.com.br,2007-08-09,2024-05-11,1200.0,Feminino,54,36
382,28439072252,GUSTAVO DINIZ MIRANDA PINHEIRO,2050-11-01,CLIENTE ATIVO,,00034500,ESPLANADA,SABARA,MG,2123729219,,gustavo_000382@sgasoft.com.br,2007-08-09,2024-09-27,300.0,Masculino,62,74
384,36383441426,DIEGO SILVA COELHO MOREIRA,2056-09-02,CLIENTE ATIVO,,34525220,CORREGO DA ILHA,SABARA,MG,7176712718,,diego_000384@sgasoft.com.br,1995-12-01,2024-11-27,900.0,Masculino,62,68
395,72973071739,ANTONIA CARDOSO CARVALHO MENEZES,2074-01-30,CLIENTE ATIVO,,30670000,CASTANHEIRA II VALE,BELO HORIZONTE,MG,,34944904544,antonia_000395@sgasoft.com.br,2005-02-04,2024-07-13,700.0,Feminino,112,51
398,82501104471,HELENA. NASCIMENTO MENDES CARVALHO,2051-08-11,CLIENTE ATIVO,,30550000,SALGADO FILHO,BELO HORIZONTE,MG,,975440404,helena._000398@sgasoft.com.br,1997-04-18,2024-11-13,300.0,Feminino,72,73
401,05583302232,CLARA SOUZA SILVA CAMPOS,2051-08-04,CLIENTE ATIVO,,34505010,SIDERURGICA,SABARA,MG,96711979,32949242343,clara_000401@sgasoft.com.br,1995-09-23,2024-10-29,300.0,Feminino,70,73
417,68835531268,JOAQUIM CALDAS SANTOS NOGUEIRA,1989-05-10,CLIENTE S/C,,34505640,CABRAL,SABARA,MG,8186718117,,joaquim_000417@sgasoft.com.br,2007-08-13,2024-07-12,300.0,Masculino,13,35
423,44305306700,ANA COSTA CAVALCANTI RODRIGUES,2063-09-26,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,3136711333,35900005055,ana_000423@sgasoft.com.br,1995-09-16,2024-12-02,0.0,Feminino,389,61
436,20357939476,VINICIUS PEREIRA LIMA XAVIER,1976-06-16,CLIENTE ATIVO,,00034500,MANGUEIRAS,SABARA,MG,,37939059337,vinicius_000436@sgasoft.com.br,1996-06-08,2024-11-21,0.0,Masculino,184,48
444,24846642224,RAFAEL RODRIGUES VIEIRA QUEIROZ,1985-12-03,CLIENTE ATIVO,,30670000,CASTANHEIRA II VALE,BELO HORIZONTE,MG,,996547990,rafael_000444@sgasoft.com.br,2007-08-14,2024-11-22,1800.0,Masculino,152,39
455,91734705892,ISABELA HORTA CAMPOS ARAUJO,2055-03-22,CLIENTE ATIVO,,34515310,ESPLANADA,SABARA,MG,,35995550057,isabela_000455@sgasoft.com.br,1997-02-26,2024-08-10,800.0,Feminino,110,69
460,90295679026,LEANDRO VIEIRA JESUS XAVIER,2053-10-22,CLIENTE ATIVO,,34505190,VILA ESPERANCA,SABARA,MG,2126711728,,leandro_000460@sgasoft.com.br,1997-03-19,2024-11-28,900.0,Masculino,159,71
469,49239374329,VINICIUS FERREIRA SANTANA PIRES,1989-02-28,CLIENTE ATIVO,,34800000,SAO GERALDO,CAETE,MG,,34993379537,vinicius_000469@sgasoft.com.br,2007-08-16,2024-10-31,1620.0,Masculino,98,35
472,62211572189,EMANUEL BARBOSA RODRIGUES BRAGA,2049-06-18,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,1116712779,,emanuel_000472@sgasoft.com.br,1996-08-02,2024-12-02,300.0,Masculino,103,75
479,02100718347,JOAQUIM BARROS ALBUQUERQUE LIMA,2067-05-02,CLIENTE ATIVO,,34505710,CABRAL,SABARA,MG,,30997990370,joaquim_000479@sgasoft.com.br,1995-11-27,2024-10-16,0.0,Masculino,250,57
481,11165187590,ENZO BEZERRA ELIAS SANTOS,2054-07-25,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,9196712189,37900744734,enzo_000481@sgasoft.com.br,1995-11-27,2024-05-02,0.0,Masculino,116,70
482,25182916108,VINICIUS CAVALCANTI TEIXEIRA MENEZES,2052-04-17,CLIENTE ATIVO,,31980000,SAO GABRIEL,BELO HORIZONTE,MG,8186711286,39704477,vinicius_000482@sgasoft.com.br,1995-11-27,2024-10-09,800.0,Masculino,150,72
485,48163114916,ALINE SILVEIRA BARROS LOPES,2055-12-14,CLIENTE ATIVO,,33900210,SANTA FE (JUSTINOPOL,RIBEIRAO DAS NEVES,MG,2126713638,,aline_000485@sgasoft.com.br,1995-09-28,2024-11-01,0.0,Feminino,293,69
487,33697349589,BRUNO MOURA GOMES BONFIM,2064-02-24,CLIENTE ATIVO,,34555000,CAIEIRA,SABARA,MG,,30997500997,bruno_000487@sgasoft.com.br,2007-08-17,2024-10-17,600.0,Masculino,32,60
491,50606286985,ELISA DINIZ JESUS MARQUES,,CLIENTE ATIVO,,34505010,CENTRO,SABARA,MG,667117766,,elisa_000491@sgasoft.com.br,1995-09-28,2024-06-26,0.0,Feminino,190,0
493,79660755163,MIRELLA SA BARROS CASTRO,2054-06-30,CLIENTE ATIVO,SOLTEIRO,30850000,DOM BOSCO,BELO HORIZONTE,MG,6166766666,,mirella_000493@sgasoft.com.br,1997-01-11,2024-10-01,600.0,Feminino,56,70
496,82641953854,BRUNA BORGES SANTOS CAMPOS,1989-02-01,CLIENTE ATIVO,,34800000,SAO GERALDO,CAETE,MG,,35994554755,bruna_000496@sgasoft.com.br,2007-08-18,2024-10-14,840.0,Feminino,55,36
512,81575884488,LAURA NASCIMENTO LEAL SOUZA,2053-09-25,CLIENTE ATIVO,,34505010,MORADA DA SERRA,SABARA,MG,5156711857,35998589458,laura_000512@sgasoft.com.br,1997-12-23,2024-08-22,300.0,Feminino,85,71
516,03018956435,GUILHERME DIAS CARVALHO SAMPAIO,1975-04-24,CLIENTE ATIVO,,34505010,ADELMOLANDIA,SABARA,MG,88,35953735555,guilherme_000516@sgasoft.com.br,1996-01-06,2024-10-10,0.0,Masculino,154,49
